Code,Description
20854478,Sitka Shipping Pty Ltd
ZZZ00097,CP World Cargoport South Africa CC
01485731,Argus Freight CC
20568531,Hoegh Autoliners Pty Ltd
ZZZ00027,Shipping & Airfreight Services
ZZZ00056,Euroland Freight System SA
ZZZ00089,JF International Forwarding Pty Ltd
ZZZ00092,Silic Logistics (Pty) Ltd
00458831,Viking Shipping T/A Saimex Agencies
01484042,Velocity Freight Services
00296511,Micor a div of Super Group Trading (Pty) Ltd
00542794,Jetstream Freight Forwarders CC
21173028,Mercury Freight (Pty) Ltd
20461215,Consolidation and Wholesale Cargo EC Pty Ltd
00771020,AB Logistics a Division of Armscor Ltd
01861219,BLG Logistics of South Africa
01032662,Aqualink Freight Forwarders CC
00440526,Bax Global (Pty) Ltd
20847995,Aero Maritime Logistics Durban
21056490,Allcare Logistix CC
01251425,Krew Trans-Link IEL Pty Ltd
ZZZ00106,Hassiem United Investments Pty Ltd
01469134,Morgan Air Cargo Pty Ltd
01859843,Assured Freight Services (Pty) Ltd
21385448,Afriqportz Pty Ltd
20393927,Jongosi Freight Pty Ltd
00492459,Trans Universe Clearing
20201288,M and M Logistics
ZZZ00052,BOHP Shipping CC
20104334,Swift Freight International
20191870,Freightit
01599557,JF Hillebrand SA Pty Ltd
01651012,Sun Fai Clearing and Forwarding CC
00853079,Specialised International Freight Pty Ltd
01223963,Mentor Freight Services Pty Ltd
21150461,Rak logistics South Africa (Pty) Ltd
ZZZ00065,Protank (Pty) Ltd)
20166364,Logix Solutions Pty Ltd
00626646,Phosfert Marine Pty Ltd
21507662,Billericay (Pty) Ltd
00468380,Freitan SA Pty Ltd
20546777,LCL Grindrod (Pty) Ltd
ZZZ00113,Smoothy Freight
00546528,Megafreight Services Pty Ltd
00299618,Sturrock Shipping (Pty) Ltd
01238455,Excellence Forwarding (Pty) Ltd
01095456,Forwarding Network CC
20732146,Global Trans Shipping
ZZZ00035,Elliance Consolidation and Shipping
ZZZ00115,South African Consolidators (PTY) Ltd
ZZZ00090,Redif Freight and Logistics SA CC
01568476,Edward John Shipping
ZZZ00109,KWT Freight Consultants CC
20496717,RT Clearing And Forwarding
01159856,Forwarding African Transport Services Pty Ltd
20864219,Evergreen Agency (South Africa) (Pty) Ltd
01719582,Phoenix International Logistics Pty Ltd
00300508,DHL Global Forwarding SA Pty Ltd
01838074,Iafrica Worldwide Logistics Pty Ltd
20786403,Inchcape Shipping Services South Africa Pty Ltd
ZZZ00099,LCL Consolidations CC
21039164,Monteagle Logistics Ltd
ZZZ00079,Pow Pown Distributions CC
21395787,SCT Supply Chain Solutions (Pty) Ltd
01166355,Gallery Clearing & Forwarding
21138986,PPJ Courier Services Pty Ltd
20758690,Belfreight Shipping Management Services CC
00433954,Bridge Shipping Pty Ltd
20426049,GMA Logistics Pty Ltd
20697613,Silver Bear Trading CC
20341514,Troon Investments Pty Ltd t/a Concord Shipping
01792800,Express Clearing & Forwarding
01854981,Trans Hydro Logistics (Pty) Ltd
00498511,L.M. Knight (Pty) Ltd
20080167,Dreamcatcher 8 (Pty) Ltd
21142044,Sanguine Logistics International Pty Ltd
01539681,Matrick Freight Services CC
ZZZ00107,Fernice Forwarding CC
ZZZ00048,Z and Z Shipping CC
21506534,ABG African Link Traders
21535548,Blu Air Sea And Land Logistics
ZZZ00064,Le Don Freight CC
20065046,Logistic Business Partners SA Pty Ltd
01269803,Beiramar Shipping Services Pty Ltd
01729374,Deugro SA Pty Ltd
20350695,Consolidation & Wholesale Cargo Pty Ltd
00546617,Skyline Freight Pty Ltd
00535438,Exel Supply Chain Services
20716711,Covenant Logistics CC
21496159,Hub 25 Logistics International (Pty) Ltd
01364732,Charter International Freight Pty Ltd t/a Pioneer Freight
20163543,Sun Marine Shipping Pty Ltd
20187572,Linen Language
01438398,Vopak Terminal Durban Pty Ltd
00298565,Federal Clearing and Forwarding Pty Ltd
ZZZ00023,Makulu Freight
20585639,Nunso-Fast Logistics
21105487,Fedex Trade Networks Transport and Brokerage SA Pty Ltd
00355383,Seair Freight (Pty) Ltd
00291323,Berry & Donaldson Pty Ltd
20605482,Sairas Shipping CC
21329993,Gerizan Trading CC
ZZZ00038,Customs Clearing Specialists
21008504,Afridon Freight Services
ZZZ00096,Naxapath CC
21566407,Promitrix CC
01839240,ZA Trans Logistics Pty Ltd
01206645,Tasnad Clearing & Forwarding CC
20391746,Multiship Global Import & Export CC
20806850,Cargo Hub CC
ZZZ00030,Macau Trading CC t/a SNS Freight
ZZZ00039,Cargosuite (Pty) Ltd
20649338,Allport Cargo Services (Pty) Ltd
ZZZ00114,Fairship KZN (Pty) Ltd
01809646,CFR Freight SA (Pty) Ltd
20629746,Lud Logistics (Pty) Ltd
20912738,Firenze Forwarding CC
00408936,Spedag South Africa (Pty) Ltd
21042822,Phidisanang Forwarding Pty Ltd
01251883,Atrax Logistics SA Pty Ltd
ZZZ00091,TNS Freight Consolidation CC
01034622,Robeck International Freight SA Pty Ltd
00626166,Pyramid Freight Pty Ltd
20512522,SU Logistics
20558294,Gotrans Freight Services
00779722,P & P Shipping CC T/A Robin Shipping
00977158,Transmedit Forwarding Pty Ltd
00094481,Lochhead White
21175608,Uniclear Logistics (Pty) Ltd
01283324,Cargo Networking CC
20128302,YZB Clearing and Forwarding CC
ZZZ00103,TWC Freight Pty Ltd
20888264,Market Demand Trading
20183984,New South Africa Shipping
00572399,Spectrum Shipping Ltd
21372983,Crane Worldwide Logistics South Africa Pty Ltd
20800577,Cargo-Logix Pty Ltd
20760988,Sinadad Logistics CC
